variant_id;product_id;color_id;color_label;component_order;source_color_raw
KD-PD-00474__v001;KD-PD-00474;clr_2818a16c64;Белый;1;Белый
KD-PD-00574__v001;KD-PD-00574;clr_2818a16c64;Белый;1;Белый
KD-PD-00575__v001;KD-PD-00575;clr_2818a16c64;Белый;1;Белый
KD-PD-00576__v001;KD-PD-00576;clr_2818a16c64;Белый;1;Белый
KD-PD-11574__v001;KD-PD-11574;clr_2818a16c64;Белый;1;Белый
KD-PD-11616__v001;KD-PD-11616;clr_2818a16c64;Белый;1;Белый
KD-PD-1023__v001;KD-PD-1023;clr_398bc3d0f7;Синий;1;Синий
KD-PD-1023__v002;KD-PD-1023;clr_2818a16c64;Белый;1;Белый
KD-PD-1023__v003;KD-PD-1023;clr_89001f99bc;Молочный;1;Молочный
KD-PD-1026__v001;KD-PD-1026;clr_398bc3d0f7;Синий;1;Синий
KD-PD-1026__v002;KD-PD-1026;clr_2818a16c64;Белый;1;Белый
KD-PD-1026__v003;KD-PD-1026;clr_89001f99bc;Молочный;1;Молочный
KD-PD-1027__v001;KD-PD-1027;clr_89001f99bc;Молочный;1;Молочный
KD-PD-1027__v002;KD-PD-1027;clr_89001f99bc;Молочный;1;Молочный
KD-PD-1027__v003;KD-PD-1027;clr_3afdfac7c7;Серо-синий;1;Серо-синий
KD-PD-1027__v004;KD-PD-1027;clr_3afdfac7c7;Серо-синий;1;Серо-синий
KD-PD-1030__v001;KD-PD-1030;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1024__v001;KD-PD-1024;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1024__v002;KD-PD-1024;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1024__v003;KD-PD-1024;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1025__v001;KD-PD-1025;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1028__v001;KD-PD-1028;clr_2818a16c64;Белый;1;Белый
KD-PD-1028__v002;KD-PD-1028;clr_2818a16c64;Белый;1;Белый
KD-PD-1028__v003;KD-PD-1028;clr_2818a16c64;Белый;1;Белый
KD-PD-1028__v004;KD-PD-1028;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1028__v005;KD-PD-1028;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1028__v006;KD-PD-1028;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1028__v007;KD-PD-1028;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-1028__v008;KD-PD-1028;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-1028__v009;KD-PD-1028;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-1128__v001;KD-PD-1128;clr_2818a16c64;Белый;1;Белый
KD-PD-1128__v002;KD-PD-1128;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1128__v003;KD-PD-1128;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-2519__v001;KD-PD-2519;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-2519__v001;KD-PD-2519;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-2519__v002;KD-PD-2519;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-2519__v002;KD-PD-2519;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-11417__v001;KD-PD-11417;clr_2818a16c64;Белый;1;Белый
KD-PD-11415__v001;KD-PD-11415;clr_2818a16c64;Белый;1;Белый
KD-PD-11416__v001;KD-PD-11416;clr_2818a16c64;Белый;1;Белый
KD-PD-11514__v001;KD-PD-11514;clr_2818a16c64;Белый;1;Белый
KD-PD-11428__v001;KD-PD-11428;clr_2818a16c64;Белый;1;Белый
KD-PD-11430__v001;KD-PD-11430;clr_2818a16c64;Белый;1;Белый
KD-PD-11420__v001;KD-PD-11420;clr_2818a16c64;Белый;1;Белый
KD-PD-11438__v001;KD-PD-11438;clr_2818a16c64;Белый;1;Белый
KD-PD-11438__v002;KD-PD-11438;clr_2818a16c64;Белый;1;Белый
KD-PD-11438A__v001;KD-PD-11438A;clr_2818a16c64;Белый;1;Белый
KD-PD-114381__v001;KD-PD-114381;clr_2818a16c64;Белый;1;Белый
KD-PD-114382__v001;KD-PD-114382;clr_2818a16c64;Белый;1;Белый
KD-PD-114383__v001;KD-PD-114383;clr_2818a16c64;Белый;1;Белый
