variant_id;product_id;article;product_name;color_raw;aroma_id;aroma;size_id;size;price_rub;old_price_rub;height;width;volume;diameter;package_info;material_id;material;composition;details;collection_id;collection;capsule_id;capsule;category_id;category;subcategory_id;subcategory;ready_required;ready_optional;photo_1;photo_2;photo_3;ready_solution_description;available
KD-PD-00474__v001;KD-PD-00474;KD-PD-00474;Тарелка десертная Алая Нить;Белый;;;siz_4863737db2;19 см;5599;;;;;19 см;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;;/assets/images/KD-PD-00474.png;;;;true
KD-PD-00574__v001;KD-PD-00574;KD-PD-00574;Тарелка обеденная Алая Нить;Белый;;;siz_66438ea56f;23 см;6599;;;;;23 см;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;;/assets/images/KD-PD-00574.png;;;;true
KD-PD-00575__v001;KD-PD-00575;KD-PD-00575;Салатник Алая Нить;Белый;;;siz_7646237670;350 мл;7599;;;;350 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;Красные линии;;/assets/images/KD-PD-00575.png;;;;true
KD-PD-00576__v001;KD-PD-00576;KD-PD-00576;Супница Алая Нить;Белый;;;siz_3e53916ec5;450 мл;7599;;;;450 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;Красные линии;;/assets/images/KD-PD-00576.png;;;;true
KD-PD-11574__v001;KD-PD-11574;KD-PD-11574;Чайная пара Алая Нить;Белый;;;siz_6c0bc92bb9;250 мл;6599;;;;250 мл;;;mat_2ca5cf94f3;Фарфор;100% Костяной фарфор;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;Красные линии;;/assets/images/KD-PD-11574.png;;;;true
KD-PD-11616__v001;KD-PD-11616;KD-PD-11616;Плейсмат Алая Нить;Белый;;;siz_445e9902eb;45×45 см;3599;;45 см;45 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;;col_f4cc42144b;Алая нить;;;cat_c26358d6ce;Посуда и сервировка;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/KD-PD-11616.png;;;;true
KD-PD-1023__v001;KD-PD-1023;KD-PD-1023;Подушка с кружевом;Синий;;;siz_ecbdfa3a54;60×60 см;5990;;60 см;60 см;;;;mat_84ce26e46a;Хлопок;Внешняя часть: 100% Хлопок  Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;Зимняя сказка;;/assets/images/KD-PD-1023-BLUE02.png;;;;true
KD-PD-1023__v002;KD-PD-1023;KD-PD-1023;Подушка с кружевом;Белый;;;siz_ecbdfa3a54;60×60 см;5990;;60 см;60 см;;;;mat_84ce26e46a;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;Зимняя сказка;;/assets/images/KD-PD-1023-WHITE02.png;;;;true
KD-PD-1023__v003;KD-PD-1023;KD-PD-1023;Подушка с кружевом;Молочный;;;siz_ecbdfa3a54;60×60 см;5990;;60 см;60 см;;;;mat_84ce26e46a;Хлопок;Внешняя часть: 100% Хлопок Наполнитель: 100% Пух;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_a86f8f51fb;Декоративные подушки;Зимняя сказка;;/assets/images/KD-PD-1023-BEIGE02.png;;;;true
KD-PD-1026__v001;KD-PD-1026;KD-PD-1026;Плед из кружева;Синий;;;siz_8b267a4c84;200×220 см;12990;;200 см;220 см;;;;mat_84ce26e46a;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;Зимняя сказка;;/assets/images/KD-PD-1026-BLUE02.png;;;;true
