product_id;article;name;catalog_sort_order;category_id;category_name;subcategory_id;subcategory_name;collection_id;collection_name;capsule_id;capsule_name;materials;variant_count;min_price_rub;max_price_rub;min_old_price_rub;max_old_price_rub;primary_image;has_ready_solution
KD-PD-00474;KD-PD-00474;Тарелка десертная Алая Нить;1;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f4cc42144b;Алая нить;;;Фарфор;1;5599;5599;;;/assets/images/KD-PD-00474.png;true
KD-PD-00574;KD-PD-00574;Тарелка обеденная Алая Нить;2;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f4cc42144b;Алая нить;;;Фарфор;1;6599;6599;;;/assets/images/KD-PD-00574.png;true
KD-PD-00575;KD-PD-00575;Салатник Алая Нить;3;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_f4cc42144b;Алая нить;;;Фарфор;1;7599;7599;;;/assets/images/KD-PD-00575.png;true
KD-PD-00576;KD-PD-00576;Супница Алая Нить;4;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_f4cc42144b;Алая нить;;;Фарфор;1;7599;7599;;;/assets/images/KD-PD-00576.png;true
KD-PD-11574;KD-PD-11574;Чайная пара Алая Нить;5;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_f4cc42144b;Алая нить;;;Фарфор;1;6599;6599;;;/assets/images/KD-PD-11574.png;true
KD-PD-11616;KD-PD-11616;Плейсмат Алая Нить;6;cat_c26358d6ce;Посуда и сервировка;sub_ddc14f17b6;Столовый текстиль;col_f4cc42144b;Алая нить;;;Хлопок;1;3599;3599;;;/assets/images/KD-PD-11616.png;true
KD-PD-1023;KD-PD-1023;Подушка с кружевом;7;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;;;cap_235a4f2c57;Лунная сказка;Хлопок;3;5990;5990;;;/assets/images/KD-PD-1023-BLUE02.png;true
KD-PD-1026;KD-PD-1026;Плед из кружева;8;cat_a0b0e47bba;Пледы и подушки;sub_8aadebfefa;Плед;;;cap_235a4f2c57;Лунная сказка;Хлопок;3;12990;12990;;;/assets/images/KD-PD-1026-BLUE02.png;true
KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;9;cat_a0b0e47bba;Пледы и подушки;sub_b25ec2d0ad;Покрывало;col_d572e9eb8f;Бархат;;;Микровелюр;4;8690;8690;;;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;true
KD-PD-1030;KD-PD-1030;"Чайная пара ""Лунная сказка""";10;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;Фарфор;1;6990;6990;;;/assets/images/time-tea-pair.png;true
KD-PD-1024;KD-PD-1024;"Комплект постельного белья ""Лунная сказка""";11;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;Шелк;3;15990;20990;;;/assets/images/KD-PD-1024-DARK01.png;true
KD-PD-1025;KD-PD-1025;"Тарелка ""Лунная сказка""";12;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;Фарфор;1;5990;5990;;;/assets/images/moon-plate.png;true
KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;13;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;;;;;Шелк;9;4990;6990;;;/assets/images/KD-PD-1028-WHITE01.png;false
KD-PD-1128;KD-PD-1128;Наволочка из сатина;14;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;;;;;Шелк;3;4990;4990;;;/assets/images/KD-PD-1128-WHITE01.png;false
KD-PD-2519;KD-PD-2519;Свеча Феникс;15;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;col_0495d7f773;Феникс;cap_0495d7f773;Феникс;;2;4990;4990;;;/assets/images/KD-PD-2519.png;true
KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;16;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_02264c193e;Овация;;;фарфор;1;1794;1794;2990;2990;/assets/images/69cfd1dbd8788_big.jpg;true
KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;17;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_02264c193e;Овация;;;фарфор;1;894;894;1490;1490;/assets/images/69a59fe31bc63_big.jpg;true
KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;18;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_02264c193e;Овация;;;фарфор;1;1314;1314;2190;2190;/assets/images/69a59ff7219ee_big.jpg;true
KD-PD-11514;KD-PD-11514;Чайная пара Овация;19;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_02264c193e;Овация;;;фарфор;1;1194;1194;1990;1990;/assets/images/6a85be4b7c47d_big.jpg;true
KD-PD-11428;KD-PD-11428;Чайник Овация;20;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_02264c193e;Овация;;;фарфор;1;2394;2394;3990;3990;/assets/images/6a85bf69a9fab_big.jpg;true
KD-PD-11430;KD-PD-11430;Сахарница Овация;21;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_02264c193e;Овация;;;фарфор;1;954;954;1590;1590;/assets/images/6a85b5ce5156c_big.jpg;true
KD-PD-11420;KD-PD-11420;Салатник Овация;22;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_02264c193e;Овация;;;фарфор;1;1794;1794;2990;2990;/assets/images/6a85b4e761a4c_big.jpg;true
KD-PD-11438;KD-PD-11438;Чайник Эхо;23;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_369c12a8e3;Эхо;;;фарфор | костяной фарфор;2;5593;6593;7990;9990;/assets/images/6a85bf6840c27_big.jpg;true
KD-PD-11438A;KD-PD-11438A;Чайная пара Эхо;24;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_369c12a8e3;Эхо;;;костяной фарфор;1;2233;2233;3190;3190;/assets/images/6a85bf55372ef_big.jpg;false
