product_id;group_id;group_name
KD-PD-00474;cgrp_2818a16c64;Белый
KD-PD-00574;cgrp_2818a16c64;Белый
KD-PD-00575;cgrp_2818a16c64;Белый
KD-PD-00576;cgrp_2818a16c64;Белый
KD-PD-11574;cgrp_2818a16c64;Белый
KD-PD-11616;cgrp_2818a16c64;Белый
KD-PD-1023;cgrp_398bc3d0f7;Синий
KD-PD-1023;cgrp_2818a16c64;Белый
KD-PD-1026;cgrp_398bc3d0f7;Синий
KD-PD-1026;cgrp_2818a16c64;Белый
KD-PD-1027;cgrp_2818a16c64;Белый
KD-PD-1027;cgrp_398bc3d0f7;Синий
KD-PD-1030;cgrp_398bc3d0f7;Синий
KD-PD-1024;cgrp_398bc3d0f7;Синий
KD-PD-1025;cgrp_398bc3d0f7;Синий
KD-PD-1028;cgrp_2818a16c64;Белый
KD-PD-1028;cgrp_398bc3d0f7;Синий
KD-PD-1028;cgrp_417dc1f5c1;Пудровый
KD-PD-1128;cgrp_2818a16c64;Белый
KD-PD-1128;cgrp_398bc3d0f7;Синий
KD-PD-1128;cgrp_417dc1f5c1;Пудровый
KD-PD-2519;cgrp_2818a16c64;Белый
KD-PD-2519;cgrp_b988d894d3;Золотой
KD-PD-11417;cgrp_2818a16c64;Белый
KD-PD-11415;cgrp_2818a16c64;Белый
KD-PD-11416;cgrp_2818a16c64;Белый
KD-PD-11514;cgrp_2818a16c64;Белый
KD-PD-11428;cgrp_2818a16c64;Белый
KD-PD-11430;cgrp_2818a16c64;Белый
KD-PD-11420;cgrp_2818a16c64;Белый
KD-PD-11438;cgrp_2818a16c64;Белый
KD-PD-11438A;cgrp_2818a16c64;Белый
KD-PD-114381;cgrp_2818a16c64;Белый
KD-PD-114382;cgrp_2818a16c64;Белый
KD-PD-114383;cgrp_2818a16c64;Белый
KD-PD-114384;cgrp_2818a16c64;Белый
KD-PD-114385;cgrp_2818a16c64;Белый
KD-PD-10288;cgrp_2818a16c64;Белый
KD-PD-11020;cgrp_db1adb0a92;Желтый
KD-PD-11020;cgrp_398bc3d0f7;Синий
KD-PD-10414;cgrp_2818a16c64;Белый
KD-PD-10932;cgrp_2818a16c64;Белый
KD-PD-10587;cgrp_2818a16c64;Белый
KD-PD-10567;cgrp_2818a16c64;Белый
KD-PD-10450;cgrp_2818a16c64;Белый
KD-PD-10400;cgrp_8717c2ffa9;Красный
KD-PD-10930;cgrp_8717c2ffa9;Красный
KD-PD-8985;cgrp_2818a16c64;Белый
KD-PD-8982;cgrp_2818a16c64;Белый
KD-PD-8982;cgrp_2372492028;Зеленый
KD-PD-11033;cgrp_7ca5cf6f56;Бежевый
KD-PD-11034;cgrp_7ca5cf6f56;Бежевый
KD-PD-10841;cgrp_7ca5cf6f56;Бежевый
KD-PD-10841;cgrp_a39ee8788e;Голубой
KD-PD-10841;cgrp_2818a16c64;Белый
KD-PD-10786;cgrp_7ca5cf6f56;Бежевый
KD-PD-10786;cgrp_a39ee8788e;Голубой
KD-PD-10786;cgrp_2818a16c64;Белый
KD-PD-7947;cgrp_2818a16c64;Белый
KD-PD-8312;cgrp_2818a16c64;Белый
KD-PD-7941;cgrp_2818a16c64;Белый
KD-PD-7942;cgrp_2818a16c64;Белый
KD-PD-7242;cgrp_2818a16c64;Белый
KD-PD-7938;cgrp_2818a16c64;Белый
KD-PD-8256;cgrp_2818a16c64;Белый
KD-PD-7939;cgrp_2818a16c64;Белый
KD-PD-7944;cgrp_2818a16c64;Белый
KD-PD-7940;cgrp_2818a16c64;Белый
KD-PD-7937;cgrp_2818a16c64;Белый
KD-PD-9713;cgrp_df6d4fc5b2;Коричневый
KD-PD-9718;cgrp_d74fedd1fa;Черный
KD-PD-9718;cgrp_7ca5cf6f56;Бежевый
KD-PD-8768;cgrp_d74fedd1fa;Черный
KD-PD-8768;cgrp_7ca5cf6f56;Бежевый
KD-PD-8770;cgrp_d74fedd1fa;Черный
KD-PD-8770;cgrp_7ca5cf6f56;Бежевый
